molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_2003,-5.236,-2.110,3.126,0.139,-43888.288,-43882.015,-43889.377,-1.088,6.274
hc_c42h24_0pent_6184,-4.766,-2.529,2.237,0.202,-43887.234,-43881.103,-43888.722,-1.488,6.131
hc_c42h24_0pent_3480,-5.292,-1.955,3.337,0.384,-43887.390,-43881.072,-43888.351,-0.961,6.317
hc_c42h24_0pent_2566,-5.349,-1.971,3.378,0.324,-43887.849,-43881.472,-43888.759,-0.909,6.377
hc_c42h24_0pent_2984,-5.403,-1.913,3.490,0.132,-43888.225,-43881.846,-43889.189,-0.964,6.379
hc_c38h22_0pent_1260,-5.107,-2.171,2.936,0.213,-39712.685,-39706.469,-39713.789,-1.104,6.216
hc_c42h24_0pent_3628,-5.323,-1.974,3.348,0.155,-43888.286,-43881.970,-43889.306,-1.020,6.316
hc_c38h22_0pent_785,-5.201,-2.089,3.113,0.310,-39712.543,-39706.314,-39713.637,-1.094,6.229
hc_c42h24_0pent_1040,-5.122,-2.146,2.976,0.188,-43887.674,-43881.537,-43888.830,-1.156,6.136
hc_c38h22_0pent_178,-5.493,-1.781,3.713,0.123,-39711.897,-39705.376,-39712.631,-0.734,6.521
hc_c42h24_0pent_2826,-5.310,-1.965,3.346,0.248,-43887.670,-43881.312,-43888.628,-0.958,6.358
hc_c34h20_0pent_65,-5.546,-1.694,3.852,0.000,-35537.602,-35530.964,-35538.259,-0.657,6.638
hc_c38h22_0pent_747,-5.197,-2.002,3.194,0.203,-39712.694,-39706.420,-39713.661,-0.967,6.274
hc_c42h24_0pent_2248,-5.368,-1.873,3.495,0.241,-43887.817,-43881.405,-43888.726,-0.909,6.412
hc_c42h24_0pent_1220,-5.235,-2.098,3.137,0.204,-43888.085,-43881.825,-43889.181,-1.096,6.260
hc_c42h24_0pent_4770,-4.976,-2.290,2.685,0.169,-43887.519,-43881.551,-43888.833,-1.315,5.967
hc_c38h22_0pent_1208,-5.096,-2.179,2.918,0.085,-39712.572,-39706.383,-39713.683,-1.111,6.188
hc_c38h22_0pent_251,-5.218,-1.949,3.269,0.132,-39712.371,-39706.119,-39713.292,-0.921,6.252
hc_c42h24_0pent_4858,-5.025,-2.285,2.740,0.148,-43887.865,-43881.804,-43889.146,-1.281,6.061
hc_c42h24_0pent_3754,-5.149,-2.058,3.090,0.402,-43887.578,-43881.432,-43888.645,-1.067,6.145
hc_c42h24_0pent_2213,-5.378,-1.924,3.453,0.412,-43887.763,-43881.369,-43888.748,-0.986,6.394
hc_c42h24_0pent_1480,-5.193,-2.044,3.149,0.037,-43887.551,-43881.372,-43888.639,-1.089,6.178
hc_c42h24_0pent_5883,-4.893,-2.299,2.594,0.170,-43887.433,-43881.467,-43888.716,-1.283,5.966
hc_c42h24_0pent_1030,-5.236,-2.058,3.178,0.171,-43888.127,-43881.879,-43889.193,-1.066,6.248
hc_c42h24_0pent_924,-5.301,-1.954,3.347,0.049,-43888.144,-43881.786,-43889.079,-0.935,6.357
hc_c42h24_0pent_5068,-5.138,-2.186,2.952,0.229,-43888.002,-43881.844,-43889.173,-1.171,6.158
hc_c42h24_0pent_5679,-5.013,-2.341,2.672,0.128,-43887.259,-43881.217,-43888.603,-1.345,6.041
hc_c38h22_0pent_1516,-4.970,-2.290,2.680,0.367,-39712.222,-39706.154,-39713.461,-1.239,6.068
hc_c38h22_0pent_471,-5.285,-2.014,3.271,0.053,-39712.284,-39705.957,-39713.289,-1.006,6.327
hc_c42h24_0pent_5171,-5.137,-2.207,2.930,0.131,-43888.128,-43881.929,-43889.295,-1.167,6.199
