molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c34h20_0pent_27,AaAAAa,AAAAAA,8,0,0,0,0.0000,0,7,0,0.6667,1.0000,0.5000,3,6,1,1,0
hc_c34h20_0pent_270,LA()aLa,LA()ALA,8,1,0,0,0.3333,1,2,0,0.1667,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_271,ALAaLa,ALAALA,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,1,2,1,0,1
hc_c34h20_0pent_272,LAa()La,LAA()LA,8,1,0,0,0.3333,1,2,0,0.1667,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_273,LAaLaA,LAALAA,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,1,2,2,0,0
hc_c34h20_0pent_274,LALAaL,LALAAL,8,0,0,1,0.5000,1,3,0,0.3333,0.5000,0.5000,1,2,1,0,1
hc_c34h20_0pent_275,LAaLaa,LAALAA,8,0,0,0,0.3333,1,2,0,0.1667,0.6667,0.3333,2,2,2,1,0
hc_c34h20_0pent_276,LAA(a)A,LAA(A)A,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,3,3,2,2,0
hc_c34h20_0pent_277,LAa()aa,LAA()AA,8,1,0,0,0.1667,1,1,0,0.1667,0.6667,0.3333,3,4,1,1,0
hc_c34h20_0pent_278,LAaaAA,LAAAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,5,1,1,0
hc_c34h20_0pent_279,LAaaAL,LAAAAL,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,2,4,1,1,0
hc_c34h20_0pent_280,LAaaAa,LAAAAA,8,0,0,0,0.1667,1,1,0,0.3333,0.8333,0.6667,2,5,1,1,0
hc_c34h20_0pent_281,LAaaA(),LAAAA(),8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,4,1,1,0
hc_c34h20_0pent_282,LA()aaA,LA()AAA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,4,1,1,0
